name	bot_dir	env	epoch	seal_w	elo	delta	z	status	description
ctrl	current	-	e1	34/100	-115 [-187, -44]	-	-	baseline	champion baseline, T=16 pipeline2 tl0.44
vcf_fk8_fb20k	current	SEAL_VCF_FK=8 SEAL_VCF_FB=20000	e1	23/100	-210 [-290, -130]	-11	-1.72	discard	stronger def-filter probes: eats clock, confident negative
vcf_fk4_fb3k	current	SEAL_VCF_FK=4 SEAL_VCF_FB=3000	e1	31/100	-139 [-212, -66]	-3	-0.45	discard	cheaper def-filter: ns; auto fk/fb near-optimal, lever closed
vcf_k13_b60k	current	SEAL_VCF_K=13 SEAL_VCF_BUDGET=60000	e1	23/100	-210 [-290, -130]	-11	-1.72	discard	deeper root proof: starves main search, confident negative
vcf_k9_b25k	current	SEAL_VCF_K=9 SEAL_VCF_BUDGET=25000	e1	35/100	-108 [-178, -37]	+1	+0.15	keep	shallower root proof: ns but positive, ADOPT per greedy rule; new ctrl
rootcap26	current	SEAL_ROOT_CAP=26	e1	22/100	-220 [-301, -138]	-13	-2.04	discard	root width 26: blowout negative, width not free at T=16
rootcap16	current	SEAL_ROOT_CAP=16	e1	33/100	-123 [-195, -51]	-2	-0.30	discard	root width 16: ns; cap 20 confirmed optimal (26 blowout bad)
tt24	current	SEAL_TT_BITS=24	e1	25/100	-191 [-269, -113]	-10	-1.54	discard	TT 2^24=400MB blows V-cache, RAM-latency bound; try 2^21 next
vetoslice_88_10	cand	-	e1	28/100	-164 [-239, -89]	-7	-1.07	discard	veto slice 16%->10%: veto earns its clock, do not starve it
tt21	current	SEAL_TT_BITS=21	e1	30/100	-147 [-221, -73]	-5	-0.75	discard	TT 2^21 V-cache fit: capacity loss offsets latency win; 2^22 optimal
vetotier_k6	cand	-	e1	33/100	-123 [-195, -51]	-2	-0.30	discard	veto tier k+3->k+6: ns, budget-bound in window; veto subsystem closed
smp3	current	SEAL_SMP_MODE=3	e1	30/100	-147 [-221, -73]	-5	-0.75	discard	ABDADA on 8-core: root-split confirmed better both machines
vcf11_nointerior	current	SEAL_VCF=11	e1	36/100	-100 [-170, -30]	+1	+0.15	keep	interior probe off: free simplification, ADOPT; new ctrl 36
policy75	current	SEAL_POLICY_MODE=75	e1	32/100	-131 [-203, -58]	-4	-0.60	discard	policy fusion at our-interior: ns negative, delta owns the tree
mixnet1m	cand_mixnet	SEAL_EVAL=mixnet SEAL_MIXNET_BLOB=cand_mixnet/mixnet.bin	e1	38/100	-85 [-155, -15]	+2	+0.29	keep	Rapfi Mixnet repro (mirror net), first gate: parity+ vs tuned champion, knobs untuned
mixnet2_c64	cand_mixnet64	SEAL_EVAL=mixnet SEAL_MIXNET_BLOB=cand_mixnet64/mixnet.bin	e1	42/100	-56 [-125, +12]	+4	+0.58	keep	M128/C64 mirror 24ep: capacity was the binding constraint (battery), fixed latent MX_P overflow; new ctrl 42
mixnet3_c128	cand_mixnet128	SEAL_EVAL=mixnet SEAL_MIXNET_BLOB=cand_mixnet128/mixnet.bin	e1	37/100	-92 [-163, -22]	-5	-0.72	discard	C128 probe: offline curve bends (+0.0024 corr, top1 worse), 90MB table busts L3 - size closed at C64
ctrl_held	current	-	e1	17/50	-115 [-215, -15]	-	-	keep	held-out anchor for e1 transfer checks (trunk champion config)
mixnet2_c64_transfer	cand_mixnet64	SEAL_EVAL=mixnet SEAL_MIXNET_BLOB=cand_mixnet64/mixnet.bin	e1	19/50	-85 [-183, +13]	+4	+0.42	keep	transfer check PASS: dev +6 reproduces on held +4, not memorizing dev
mx64_vcfb40k	cand_mixnet64	SEAL_EVAL=mixnet SEAL_MIXNET_BLOB=cand_mixnet64/mixnet.bin SEAL_VCF_BUDGET=40000	e1	42/100	-56 [-125, +12]	+0	+0.00	discard	VCF budget up under mixnet eval: flat, insensitive upward
mx64_vcfb15k	cand_mixnet64	SEAL_EVAL=mixnet SEAL_MIXNET_BLOB=cand_mixnet64/mixnet.bin SEAL_VCF_BUDGET=15000	e1	41/100	-63 [-132, +6]	-1	-0.14	discard	VCF budget down: flat both directions, 25k stays
mx64_vcfk11	cand_mixnet64	SEAL_EVAL=mixnet SEAL_MIXNET_BLOB=cand_mixnet64/mixnet.bin SEAL_VCF_K=11	e1	43/100	-49 [-117, +19]	+1	+0.14	keep	VCF K back to 11 under mixnet eval: +1, ADOPT; new ctrl 43
mx64_vcf15	cand_mixnet64	SEAL_EVAL=mixnet SEAL_MIXNET_BLOB=cand_mixnet64/mixnet.bin SEAL_VCF=15	e1	43/100	-49 [-117, +19]	+0	+0.00	discard	interior probes under mixnet: flat, VCF subsystem closed again
mixnet4_c128q	cand_mixnet128q	SEAL_EVAL=mixnet SEAL_MIXNET_BLOB=cand_mixnet128q/mixnet.bin	e1	30/100	-147 [-221, -73]	-13	-1.91	discard	int16 C128: quant value noise (|dv|~120) costs ~7pts vs float C128 - quantization closed on this box
